1:   java -Xmx200m -jar /app/ts-security-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f054fdee000      4K -----   [ anon ]
00007f054fdef000   1024K rw---   [ anon ]
00007f054feef000      4K -----   [ anon ]
00007f054fef0000   1024K rw---   [ anon ]
00007f054fff0000      4K -----   [ anon ]
00007f054fff1000   1024K rw---   [ anon ]
00007f05500f1000      4K -----   [ anon ]
00007f05500f2000   1024K rw---   [ anon ]
00007f05501f2000      4K -----   [ anon ]
00007f05501f3000   1024K rw---   [ anon ]
00007f05502f3000      4K -----   [ anon ]
00007f05502f4000   1024K rw---   [ anon ]
00007f05503f4000      4K -----   [ anon ]
00007f05503f5000   1024K rw---   [ anon ]
00007f05504f5000      4K -----   [ anon ]
00007f05504f6000   1024K rw---   [ anon ]
00007f05505f6000      4K -----   [ anon ]
00007f05505f7000   1024K rw---   [ anon ]
00007f05506f7000      4K -----   [ anon ]
00007f05506f8000   1024K rw---   [ anon ]
00007f05507f8000      4K -----   [ anon ]
00007f05507f9000   1024K rw---   [ anon ]
00007f05508f9000      4K -----   [ anon ]
00007f05508fa000   1024K rw---   [ anon ]
00007f05509fa000      4K -----   [ anon ]
00007f05509fb000   1024K rw---   [ anon ]
00007f0550afb000      4K -----   [ anon ]
00007f0550afc000   1024K rw---   [ anon ]
00007f0550bfc000      4K -----   [ anon ]
00007f0550bfd000   1024K rw---   [ anon ]
00007f0550cfd000      4K -----   [ anon ]
00007f0550cfe000   1024K rw---   [ anon ]
00007f0550dfe000      4K -----   [ anon ]
00007f0550dff000   1024K rw---   [ anon ]
00007f0550eff000      4K -----   [ anon ]
00007f0550f00000   1024K rw---   [ anon ]
00007f0551000000  25984K rwx--   [ anon ]
00007f0552960000 219776K -----   [ anon ]
00007f0560000000  36368K rw---   [ anon ]
00007f0562384000  29168K -----   [ anon ]
00007f056400a000     12K r--s- jce.jar
00007f056400d000     16K r--s- jsse.jar
00007f0564011000     20K r--s- ts-security-service-1.0.jar
00007f0564016000     12K r--s- icedtea-sound.jar
00007f0564019000     16K r--s- sunpkcs11.jar
00007f056401d000    108K r--s- cldrdata.jar
00007f0564038000     40K r--s- localedata.jar
00007f0564042000    400K rw---   [ anon ]
00007f05640a6000      4K -----   [ anon ]
00007f05640a7000   1024K rw---   [ anon ]
00007f05641a7000      4K -----   [ anon ]
00007f05641a8000   1024K rw---   [ anon ]
00007f05642a8000      4K -----   [ anon ]
00007f05642a9000   1024K rw---   [ anon ]
00007f05643a9000      4K -----   [ anon ]
00007f05643aa000   1432K rw---   [ anon ]
00007f0564510000   3432K -----   [ anon ]
00007f056486a000     32K r-x-- libzip.so
00007f0564872000   2044K ----- libzip.so
00007f0564a71000      4K r---- libzip.so
00007f0564a72000      4K rw--- libzip.so
00007f0564a73000     44K r-x-- libnss_files-2.19.so
00007f0564a7e000   2044K ----- libnss_files-2.19.so
00007f0564c7d000      4K r---- libnss_files-2.19.so
00007f0564c7e000      4K rw--- libnss_files-2.19.so
00007f0564c7f000     40K r-x-- libnss_nis-2.19.so
00007f0564c89000   2044K ----- libnss_nis-2.19.so
00007f0564e88000      4K r---- libnss_nis-2.19.so
00007f0564e89000      4K rw--- libnss_nis-2.19.so
00007f0564e8a000     84K r-x-- libnsl-2.19.so
00007f0564e9f000   2044K ----- libnsl-2.19.so
00007f056509e000      4K r---- libnsl-2.19.so
00007f056509f000      4K rw--- libnsl-2.19.so
00007f05650a0000      8K rw---   [ anon ]
00007f05650a2000     28K r-x-- libnss_compat-2.19.so
00007f05650a9000   2044K ----- libnss_compat-2.19.so
00007f05652a8000      4K r---- libnss_compat-2.19.so
00007f05652a9000      4K rw--- libnss_compat-2.19.so
00007f05652aa000    184K r-x-- libjava.so
00007f05652d8000   2044K ----- libjava.so
00007f05654d7000      4K r---- libjava.so
00007f05654d8000      8K rw--- libjava.so
00007f05654da000     60K r-x-- libverify.so
00007f05654e9000   2048K ----- libverify.so
00007f05656e9000     12K r---- libverify.so
00007f05656ec000      4K rw--- libverify.so
00007f05656ed000     28K r-x-- librt-2.19.so
00007f05656f4000   2044K ----- librt-2.19.so
00007f05658f3000      4K r---- librt-2.19.so
00007f05658f4000      4K rw--- librt-2.19.so
00007f05658f5000     88K r-x-- libgcc_s.so.1
00007f056590b000   2044K ----- libgcc_s.so.1
00007f0565b0a000      4K rw--- libgcc_s.so.1
00007f0565b0b000   1024K r-x-- libm-2.19.so
00007f0565c0b000   2044K ----- libm-2.19.so
00007f0565e0a000      4K r---- libm-2.19.so
00007f0565e0b000      4K rw--- libm-2.19.so
00007f0565e0c000    944K r-x-- libstdc++.so.6.0.20
00007f0565ef8000   2048K ----- libstdc++.so.6.0.20
00007f05660f8000     32K r---- libstdc++.so.6.0.20
00007f0566100000      8K rw--- libstdc++.so.6.0.20
00007f0566102000     84K rw---   [ anon ]
00007f0566117000  12892K r-x-- libjvm.so
00007f0566dae000   2044K ----- libjvm.so
00007f0566fad000    652K r---- libjvm.so
00007f0567050000    164K rw--- libjvm.so
00007f0567079000    196K rw---   [ anon ]
00007f05670aa000   1668K r-x-- libc-2.19.so
00007f056724b000   2048K ----- libc-2.19.so
00007f056744b000     16K r---- libc-2.19.so
00007f056744f000      8K rw--- libc-2.19.so
00007f0567451000     16K rw---   [ anon ]
00007f0567455000     12K r-x-- libdl-2.19.so
00007f0567458000   2044K ----- libdl-2.19.so
00007f0567657000      4K r---- libdl-2.19.so
00007f0567658000      4K rw--- libdl-2.19.so
00007f0567659000     56K r-x-- libjli.so
00007f0567667000   2044K ----- libjli.so
00007f0567866000      4K r---- libjli.so
00007f0567867000      4K rw--- libjli.so
00007f0567868000    104K r-x-- libz.so.1.2.8
00007f0567882000   2044K ----- libz.so.1.2.8
00007f0567a81000      4K r---- libz.so.1.2.8
00007f0567a82000      4K rw--- libz.so.1.2.8
00007f0567a83000     96K r-x-- libpthread-2.19.so
00007f0567a9b000   2044K ----- libpthread-2.19.so
00007f0567c9a000      4K r---- libpthread-2.19.so
00007f0567c9b000      4K rw--- libpthread-2.19.so
00007f0567c9c000     16K rw---   [ anon ]
00007f0567ca0000    128K r-x-- ld-2.19.so
00007f0567cc0000      8K r--s- sunec.jar
00007f0567cc2000     20K r--s- sunjce_provider.jar
00007f0567cc7000      4K r--s- jaccess.jar
00007f0567cc8000      4K r--s- zipfs.jar
00007f0567cc9000      8K r--s- dnsns.jar
00007f0567ccb000    152K r---- LC_CTYPE
00007f0567cf1000      4K r---- LC_NUMERIC
