1:   java -Xmx200m -jar /app/ts-train-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f4250000000    132K rw---   [ anon ]
00007f4250021000  65404K -----   [ anon ]
00007f4254000000    132K rw---   [ anon ]
00007f4254021000  65404K -----   [ anon ]
00007f4258000000    132K rw---   [ anon ]
00007f4258021000  65404K -----   [ anon ]
00007f425c000000    132K rw---   [ anon ]
00007f425c021000  65404K -----   [ anon ]
00007f4260000000    132K rw---   [ anon ]
00007f4260021000  65404K -----   [ anon ]
00007f4264000000    132K rw---   [ anon ]
00007f4264021000  65404K -----   [ anon ]
00007f4268000000    132K rw---   [ anon ]
00007f4268021000  65404K -----   [ anon ]
00007f426c000000    132K rw---   [ anon ]
00007f426c021000  65404K -----   [ anon ]
00007f4270000000    132K rw---   [ anon ]
00007f4270021000  65404K -----   [ anon ]
00007f4274000000    132K rw---   [ anon ]
00007f4274021000  65404K -----   [ anon ]
00007f4278000000    132K rw---   [ anon ]
00007f4278021000  65404K -----   [ anon ]
00007f427c000000    132K rw---   [ anon ]
00007f427c021000  65404K -----   [ anon ]
00007f4280000000    132K rw---   [ anon ]
00007f4280021000  65404K -----   [ anon ]
00007f4284000000    132K rw---   [ anon ]
00007f4284021000  65404K -----   [ anon ]
00007f4288000000    132K rw---   [ anon ]
00007f4288021000  65404K -----   [ anon ]
00007f428c000000    132K rw---   [ anon ]
00007f428c021000  65404K -----   [ anon ]
00007f4290000000    132K rw---   [ anon ]
00007f4290021000  65404K -----   [ anon ]
00007f4294000000    132K rw---   [ anon ]
00007f4294021000  65404K -----   [ anon ]
00007f4298000000    132K rw---   [ anon ]
00007f4298021000  65404K -----   [ anon ]
00007f429c0ba000     12K r--s- jce.jar
00007f429c0bd000     16K r--s- jsse.jar
00007f429c0c1000     20K r--s- ts-train-service-1.0.jar
00007f429c0c6000     12K r--s- icedtea-sound.jar
00007f429c0c9000    108K r--s- nashorn.jar
00007f429c0e4000    108K r--s- cldrdata.jar
00007f429c0ff000  16136K rw---   [ anon ]
00007f429d0c1000      4K -----   [ anon ]
00007f429d0c2000   1024K rw---   [ anon ]
00007f429d1c2000      4K -----   [ anon ]
00007f429d1c3000   1024K rw---   [ anon ]
00007f429d2c3000      4K -----   [ anon ]
00007f429d2c4000   1024K rw---   [ anon ]
00007f429d3c4000      4K -----   [ anon ]
00007f429d3c5000   1024K rw---   [ anon ]
00007f429d4c5000      4K -----   [ anon ]
00007f429d4c6000   1024K rw---   [ anon ]
00007f429d5c6000      4K -----   [ anon ]
00007f429d5c7000   1024K rw---   [ anon ]
00007f429d6c7000      4K -----   [ anon ]
00007f429d6c8000   1024K rw---   [ anon ]
00007f429d7c8000      4K -----   [ anon ]
00007f429d7c9000   1024K rw---   [ anon ]
00007f429d8c9000      4K -----   [ anon ]
00007f429d8ca000   1024K rw---   [ anon ]
00007f429d9ca000      4K -----   [ anon ]
00007f429d9cb000   1024K rw---   [ anon ]
00007f429dacb000      4K -----   [ anon ]
00007f429dacc000   1024K rw---   [ anon ]
00007f429dbcc000      4K -----   [ anon ]
00007f429dbcd000   1024K rw---   [ anon ]
00007f429dccd000      4K -----   [ anon ]
00007f429dcce000   1024K rw---   [ anon ]
00007f429ddce000      4K -----   [ anon ]
00007f429ddcf000   1024K rw---   [ anon ]
00007f429decf000      4K -----   [ anon ]
00007f429ded0000   1024K rw---   [ anon ]
00007f429dfd0000      4K -----   [ anon ]
00007f429dfd1000   1024K rw---   [ anon ]
00007f429e0d1000      4K -----   [ anon ]
00007f429e0d2000   1024K rw---   [ anon ]
00007f429e1d2000      4K -----   [ anon ]
00007f429e1d3000   1024K rw---   [ anon ]
00007f429e2d3000      4K -----   [ anon ]
00007f429e2d4000   1024K rw---   [ anon ]
00007f429e3d4000      4K -----   [ anon ]
00007f429e3d5000   1024K rw---   [ anon ]
00007f429e4d5000      4K -----   [ anon ]
00007f429e4d6000   1024K rw---   [ anon ]
00007f429e5d6000      4K -----   [ anon ]
00007f429e5d7000   1024K rw---   [ anon ]
00007f429e6d7000      4K -----   [ anon ]
00007f429e6d8000   1024K rw---   [ anon ]
00007f429e7d8000      4K -----   [ anon ]
00007f429e7d9000   1024K rw---   [ anon ]
00007f429e8d9000      4K -----   [ anon ]
00007f429e8da000   1024K rw---   [ anon ]
00007f429e9da000      4K -----   [ anon ]
00007f429e9db000   1024K rw---   [ anon ]
00007f429eadb000      4K -----   [ anon ]
00007f429eadc000   1024K rw---   [ anon ]
00007f429ebdc000      4K -----   [ anon ]
00007f429ebdd000   1024K rw---   [ anon ]
00007f429ecdd000      4K -----   [ anon ]
00007f429ecde000   1024K rw---   [ anon ]
00007f429edde000      4K -----   [ anon ]
00007f429eddf000   1024K rw---   [ anon ]
00007f429eedf000      4K -----   [ anon ]
00007f429eee0000   1024K rw---   [ anon ]
00007f429efe0000      4K -----   [ anon ]
00007f429efe1000   1024K rw---   [ anon ]
00007f429f0e1000      4K -----   [ anon ]
00007f429f0e2000   1024K rw---   [ anon ]
00007f429f1e2000      4K -----   [ anon ]
00007f429f1e3000   1024K rw---   [ anon ]
00007f429f2e3000      4K -----   [ anon ]
00007f429f2e4000   1024K rw---   [ anon ]
00007f429f3e4000      4K -----   [ anon ]
00007f429f3e5000   1024K rw---   [ anon ]
00007f429f4e5000      4K -----   [ anon ]
00007f429f4e6000   1024K rw---   [ anon ]
00007f429f5e6000      4K -----   [ anon ]
00007f429f5e7000   1024K rw---   [ anon ]
00007f429f6e7000      4K -----   [ anon ]
00007f429f6e8000   1024K rw---   [ anon ]
00007f429f7e8000      4K -----   [ anon ]
00007f429f7e9000   1024K rw---   [ anon ]
00007f429f8e9000      4K -----   [ anon ]
00007f429f8ea000   1024K rw---   [ anon ]
00007f429f9ea000      4K -----   [ anon ]
00007f429f9eb000   1024K rw---   [ anon ]
00007f429faeb000      4K -----   [ anon ]
00007f429faec000   1024K rw---   [ anon ]
00007f429fbec000      4K -----   [ anon ]
00007f429fbed000   1024K rw---   [ anon ]
00007f429fced000      4K -----   [ anon ]
00007f429fcee000   1024K rw---   [ anon ]
00007f429fdee000      4K -----   [ anon ]
00007f429fdef000   1024K rw---   [ anon ]
00007f429feef000      4K -----   [ anon ]
00007f429fef0000   1024K rw---   [ anon ]
00007f429fff0000      4K -----   [ anon ]
00007f429fff1000   1024K rw---   [ anon ]
00007f42a00f1000      4K -----   [ anon ]
00007f42a00f2000   1024K rw---   [ anon ]
00007f42a01f2000      4K -----   [ anon ]
00007f42a01f3000   1024K rw---   [ anon ]
00007f42a02f3000      4K -----   [ anon ]
00007f42a02f4000   1024K rw---   [ anon ]
00007f42a03f4000      4K -----   [ anon ]
00007f42a03f5000   1024K rw---   [ anon ]
00007f42a04f5000      4K -----   [ anon ]
00007f42a04f6000   1024K rw---   [ anon ]
00007f42a05f6000      4K -----   [ anon ]
00007f42a05f7000   1024K rw---   [ anon ]
00007f42a06f7000      4K -----   [ anon ]
00007f42a06f8000   1024K rw---   [ anon ]
00007f42a07f8000      4K -----   [ anon ]
00007f42a07f9000   1024K rw---   [ anon ]
00007f42a08f9000      4K -----   [ anon ]
00007f42a08fa000   1024K rw---   [ anon ]
00007f42a09fa000      4K -----   [ anon ]
00007f42a09fb000   1024K rw---   [ anon ]
00007f42a0afb000      4K -----   [ anon ]
00007f42a0afc000   1024K rw---   [ anon ]
00007f42a0bfc000      4K -----   [ anon ]
00007f42a0bfd000   1024K rw---   [ anon ]
00007f42a0cfd000      4K -----   [ anon ]
00007f42a0cfe000   1024K rw---   [ anon ]
00007f42a0dfe000      4K -----   [ anon ]
00007f42a0dff000   1024K rw---   [ anon ]
00007f42a0eff000      4K -----   [ anon ]
00007f42a0f00000   1024K rw---   [ anon ]
