1:   java -Xmx200m -jar /app/ts-route-service-1.0.jar
0000000000400000      4K r-x-- java
0000000000600000      4K r---- java
0000000000601000      4K rw--- java
00007f88993ca000      4K r---- LC_TELEPHONE
00007f88993cb000     28K r--s- gconv-modules.cache
00007f88993d2000    208K rw---   [ anon ]
00007f8899406000     76K -----   [ anon ]
00007f8899419000    192K rw---   [ anon ]
00007f8899449000     72K -----   [ anon ]
00007f889945b000    140K rw---   [ anon ]
00007f889947e000     32K rw-s- 1
00007f8899486000     12K -----   [ anon ]
00007f8899489000   1036K rw---   [ anon ]
00007f889958c000      4K r---- LC_MEASUREMENT
00007f889958d000      4K r---- LC_IDENTIFICATION
00007f889958e000      4K rw---   [ anon ]
00007f889958f000      4K r----   [ anon ]
00007f8899590000      8K rw---   [ anon ]
00007f8899592000      4K r---- ld-2.19.so
00007f8899593000      4K rw--- ld-2.19.so
00007f8899594000      4K rw---   [ anon ]
00007ffd99021000    132K rw---   [ stack ]
00007ffd9908a000     12K r----   [ anon ]
00007ffd9908d000      8K r-x--   [ anon ]
ffffffffff600000      4K r-x--   [ anon ]
 total          8992132K
